id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q7499134,সীতাকোট বিহার,বাংলাদেশের দিনাজপুর জেলার নবাবগঞ্জ উপজেলায় অবস্থিত একটি বৌদ্ধ বিহার,89.05155,25.41426,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%B8%E0%A7%80%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%9F%20%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0-2.jpg,https://en.wikipedia.org/wiki/Sitakot_Vihara,Wikidata,http://www.wikidata.org/entity/Q7499134
Q7499134,সীতাকোট বিহার,বাংলাদেশের দিনাজপুর জেলার নবাবগঞ্জ উপজেলায় অবস্থিত একটি বৌদ্ধ বিহার,89.05155,25.41426,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%B8%E0%A7%80%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%9F%20%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0-3.jpg,https://en.wikipedia.org/wiki/Sitakot_Vihara,Wikidata,http://www.wikidata.org/entity/Q7499134
Q7499134,সীতাকোট বিহার,বাংলাদেশের দিনাজপুর জেলার নবাবগঞ্জ উপজেলায় অবস্থিত একটি বৌদ্ধ বিহার,89.05155,25.41426,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%B8%E0%A7%80%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%9F%20%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0-4.jpg,https://en.wikipedia.org/wiki/Sitakot_Vihara,Wikidata,http://www.wikidata.org/entity/Q7499134
Q7499134,সীতাকোট বিহার,বাংলাদেশের দিনাজপুর জেলার নবাবগঞ্জ উপজেলায় অবস্থিত একটি বৌদ্ধ বিহার,89.05155,25.41426,http://commons.wikimedia.org/wiki/Special:FilePath/Sitakot%20Bihara%201.jpg,https://en.wikipedia.org/wiki/Sitakot_Vihara,Wikidata,http://www.wikidata.org/entity/Q7499134
Q31724336,"কালেক্টরেট ভবন, বরিশাল",বাংলাদেশের বরিশাল জেলার অবস্থিত একটি প্রত্নতাত্ত্বিক স্থাপনা,90.373217,22.702675,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%9F%E0%A6%B0%E0%A7%87%E0%A6%9F%20%E0%A6%AD%E0%A6%AC%E0%A6%A8%201.jpg,"https://en.wikipedia.org/wiki/Collectorate_Bhaban,_Barishal",Wikidata,http://www.wikidata.org/entity/Q31724336
Q3906655,মমিন মসজিদ,বাংলাদেশের মসজিদ ও প্রত্নতাত্ত্বিক স্থাপনা,89.94278333,22.38308611,http://commons.wikimedia.org/wiki/Special:FilePath/Momin%20Mosque%20after%20restoration.jpg,https://en.wikipedia.org/wiki/Momin_Mosque,Wikidata,http://www.wikidata.org/entity/Q3906655
Q44120629,বাংলাদেশ ব্যাংক টাকা জাদুঘর,বাংলাদেশের ঢাকা জেলার মিরপুরে অবস্থিত একটি জাদুঘর,90.359638888,23.80225,http://commons.wikimedia.org/wiki/Special:FilePath/Taka%20Museum%20%28Outside%20view%29.jpg,https://en.wikipedia.org/wiki/Bangladesh_Bank_Taka_Museum,Wikidata,http://www.wikidata.org/entity/Q44120629
Q7487152,শালবন বৌদ্ধ বিহার,বাংলাদেশের প্রত্নস্থল,91.1372098,23.426234,http://commons.wikimedia.org/wiki/Special:FilePath/Shalvan%20Vihara%20%2815108060312%29.jpg,https://en.wikipedia.org/wiki/Shalban_Vihara,Wikidata,http://www.wikidata.org/entity/Q7487152
Q85810254,তোষাখানা,specialized treasury for gifts in Bangladesh,90.3853135,23.7643746,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%A4%E0%A7%8B%E0%A6%B7%E0%A6%BE%E0%A6%96%E0%A6%BE%E0%A6%A8%E0%A6%BE%20%E0%A6%9C%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%98%E0%A6%B0.jpg,https://en.wikipedia.org/wiki/Toshakhana_(Bangladesh),Wikidata,http://www.wikidata.org/entity/Q85810254
Q43399395,বাংলাদেশ পুলিশ মুক্তিযুদ্ধ জাদুঘর,মুক্তিযুদ্ধে পুলিশ বাহিনীর কীর্তি স্মারক জাদুঘর,90.419191718,23.739250562,,https://en.wikipedia.org/wiki/Bangladesh_Police_Liberation_War_Museum,Wikidata,http://www.wikidata.org/entity/Q43399395
